Species,Weight,Length1,Length2,Length3,Height,Width
Perch,129.6,21.6,23.76,25.38,6.09,3.81
Whitefish,816.0,34.37,37.13,40.39,12.0,6.71
Parkki,84.6,15.32,16.64,18.61,6.96,2.51
Smelt,7.92,9.04,9.44,10.48,1.77,0.93
Perch,150.0,15.54,16.8,17.64,4.69,2.52
Whitefish,950.0,35.43,38.0,41.32,11.74,6.2
Perch,174.4,20.0,21.2,22.4,5.73,3.32
Parkki,273.0,21.84,23.66,26.39,10.34,3.85
Parkki,182.0,19.29,20.93,23.48,9.41,3.33
Bream,703.25,30.85,33.95,39.67,15.87,5.87
Perch,76.44,16.46,18.33,19.01,5.1,3.06
Parkki,278.46,23.46,25.5,28.56,11.31,4.23
Roach,128.4,20.76,22.47,25.36,6.54,3.52
Roach,91.35,19.11,20.79,23.31,5.9,3.33
Bream,675.0,40.2,44.55,52.05,20.4,7.39
Whitefish,288.9,25.79,28.36,31.35,8.72,4.55
Pike,688.0,56.8,60.8,64.8,11.66,7.32
Pike,399.9,33.02,35.34,37.66,6.78,4.26
Whitefish,920.0,34.32,36.8,40.02,11.37,6.0
Pike,282.0,32.71,35.06,37.41,5.91,3.78
Smelt,10.19,10.92,11.55,12.6,2.31,1.45
Perch,87.0,12.42,13.62,14.52,3.57,2.18
Bream,714.0,31.01,33.66,39.27,15.24,5.3
Parkki,278.46,23.46,25.5,28.56,11.31,4.23
Parkki,6.31,8.03,8.99,9.42,2.26,1.51
Whitefish,808.0,34.04,36.76,40.0,11.88,6.64
Whitefish,480.0,20.22,21.84,23.76,7.06,3.94
Pike,729.6,64.0,68.0,72.8,11.65,6.92
Roach,63.48,15.18,16.74,18.68,4.87,2.6
Bream,875.5,33.78,37.08,42.85,17.4,6.38
Pike,1520.0,53.2,57.0,60.8,9.12,5.84
Smelt,9.1,13.13,13.78,15.08,2.25,1.49
Smelt,6.86,7.49,7.84,8.68,1.46,0.89
Whitefish,1120.0,47.18,50.96,55.44,16.47,9.2
Pike,4.69,6.51,6.86,7.56,1.22,0.73
Whitefish,480.0,20.22,21.84,23.76,7.06,3.94
Smelt,19.5,13.52,14.7,15.88,2.87,1.84
Roach,546.0,41.3,44.38,49.0,13.28,7.5
Whitefish,53.35,13.09,14.26,16.0,6.64,2.26
Bream,943.5,36.92,40.29,46.21,19.13,6.88
Pike,362.25,37.8,40.43,43.05,6.72,4.18
Perch,1350.0,55.5,60.0,63.75,17.59,10.84
Smelt,13.0,14.69,15.34,17.03,2.88,1.67
Smelt,9.7,11.29,11.88,13.07,2.18,1.14
Bream,897.25,35.11,38.31,43.94,18.19,6.55
Parkki,147.0,18.03,19.6,21.95,8.71,3.23
Perch,142.1,21.56,23.52,24.99,6.25,3.75
Smelt,11.71,11.62,12.48,13.25,2.19,1.21
Roach,93.6,21.0,22.56,25.44,6.69,3.49
Parkki,168.0,22.8,24.84,27.84,10.25,3.95
Bream,517.75,30.96,33.79,39.46,15.55,5.56
Bream,1002.75,36.75,40.43,46.2,18.99,6.61
Pike,539.0,31.36,33.6,35.84,5.38,3.76
Smelt,25.61,17.16,18.59,19.76,3.73,2.69
Parkki,5.72,7.27,8.15,8.54,2.05,1.37
Whitefish,1200.0,44.76,48.0,52.2,14.82,7.83
Whitefish,600.0,22.38,24.0,26.1,7.41,3.92
Whitefish,216.0,19.28,21.2,23.44,6.52,3.4
Whitefish,351.0,31.33,34.45,38.09,10.59,5.52
Bream,1200.0,40.2,44.4,51.12,22.75,7.92
Roach,101.2,17.57,19.14,21.25,5.67,3.12
Parkki,330.0,26.4,28.6,31.9,12.5,4.66
Bream,316.1,26.16,28.67,34.01,13.6,4.69
Bream,644.0,27.97,30.36,35.24,13.67,4.86
Smelt,12.61,13.52,14.3,15.6,2.85,1.79
Smelt,14.07,12.29,13.02,14.18,2.55,1.33
Pike,1581.0,57.12,61.2,65.28,9.79,6.27
Pike,408.5,33.73,36.1,38.48,6.93,4.35
Parkki,210.0,16.8,18.2,20.3,7.96,2.96
Pike,800.0,67.2,72.0,76.8,11.14,7.83
Perch,278.25,26.67,28.88,30.34,7.4,4.55
Whitefish,327.42,27.39,29.96,32.96,9.39,5.01
Bream,564.2,28.67,31.39,36.13,14.13,4.8
Roach,168.0,27.16,29.4,33.18,8.56,4.61
Perch,160.0,24.0,25.84,27.84,4.45,2.7
Roach,139.5,18.97,20.46,22.97,5.4,3.49
Smelt,11.88,13.56,14.16,15.72,2.66,1.4
Perch,48.0,16.56,18.0,19.2,4.59,2.92
Smelt,10.19,11.86,12.48,13.73,2.29,1.19
Smelt,10.44,12.96,13.56,15.12,2.37,1.54
Parkki,90.9,16.46,17.88,20.0,7.48,2.7
Pike,577.8,42.91,46.01,49.01,8.33,5.49
Parkki,327.0,26.16,28.34,31.61,12.39,4.62
Parkki,163.8,13.8,15.0,16.8,6.65,2.49
Smelt,19.11,12.8,13.87,14.74,2.79,2.01
Perch,1080.0,43.8,46.8,49.68,13.36,8.99
Pike,1536.0,53.76,57.6,61.44,9.22,5.9
Roach,128.4,20.76,22.47,25.36,6.54,3.52
Smelt,7.32,7.26,7.8,8.28,1.37,0.75
Parkki,175.1,19.57,21.32,23.9,9.68,3.51
Pike,285.0,31.07,33.25,36.86,5.64,4.17
Parkki,191.1,16.1,17.5,19.6,7.76,2.9
Bream,477.0,29.26,31.8,37.21,14.85,5.13
Whitefish,1500.0,55.95,60.0,65.25,18.53,9.79
Bream,301.6,24.96,27.35,32.45,12.98,4.48
Roach,173.88,23.76,25.27,28.84,7.47,3.92
Bream,648.0,31.75,34.56,40.18,16.67,6.03
Whitefish,397.8,33.28,36.4,40.04,11.41,6.09
Pike,428.64,37.6,39.95,42.77,6.84,4.06
Smelt,7.07,10.2,10.71,11.72,1.75,1.16
Smelt,20.29,13.6,14.73,15.66,2.96,2.13
Whitefish,378.0,19.95,21.7,23.8,7.52,4.59
Pike,6.23,8.65,9.11,10.04,1.62,0.97
Bream,281.3,23.28,25.51,30.26,12.11,4.18
Whitefish,572.4,30.21,32.86,36.04,11.39,6.96
Roach,85.8,19.25,20.68,23.32,6.13,3.19
Bream,672.0,29.18,31.68,36.96,14.34,4.99
Perch,574.0,25.97,28.0,29.75,7.79,4.64
Bream,712.4,32.66,35.36,40.77,16.63,5.59
Pike,638.4,56.0,59.5,63.7,10.19,6.05
Bream,720.0,35.28,38.4,44.64,17.95,6.2
Bream,1337.0,49.0,53.9,61.6,25.32,8.81
Smelt,9.02,9.84,10.3,11.41,1.92,1.18
Parkki,184.0,19.5,21.16,23.74,9.52,3.37
Roach,312.0,23.6,25.36,28.0,7.59,4.28
Perch,291.0,26.09,27.84,29.2,7.36,4.5
Bream,588.0,28.81,31.36,36.46,15.13,5.47
Pike,1627.5,58.8,63.0,67.2,10.08,6.45
Parkki,180.0,26.25,28.5,31.95,12.59,4.38
Bream,695.5,33.17,35.84,41.41,15.49,6.13
Whitefish,312.12,26.11,28.56,31.42,8.95,4.78
Perch,300.0,31.08,33.6,35.28,9.38,5.05
Perch,819.0,33.22,35.49,37.67,10.13,6.82
Parkki,72.0,13.04,14.16,15.84,5.92,2.14
Whitefish,1060.0,39.54,42.4,46.11,13.1,6.92
Smelt,10.49,12.2,12.84,14.12,2.36,1.23
Bream,854.0,43.26,46.9,54.04,21.89,7.19
Smelt,18.51,12.83,13.95,15.07,2.73,1.75
Pike,6.3,8.74,9.21,10.15,1.63,0.98
Whitefish,980.0,36.55,39.2,42.63,12.11,6.39
Parkki,54.0,9.78,10.62,11.88,4.44,1.6
Pike,1001.0,58.24,62.4,66.56,9.98,6.99
Roach,180.0,29.1,31.5,35.55,9.17,4.94
Parkki,144.0,17.66,19.2,21.5,8.54,3.16
Bream,557.75,30.36,32.98,38.31,14.67,5.4
Bream,232.0,19.2,21.04,24.96,9.98,3.44
Smelt,7.84,9.12,9.6,10.56,1.76,0.92
Roach,220.0,24.31,25.85,29.48,8.14,4.54
Parkki,158.05,21.58,23.44,26.27,10.61,3.44
Perch,288.0,25.82,27.55,28.9,7.28,4.45
Perch,265.0,27.45,29.68,31.16,8.29,4.46
Parkki,72.0,13.04,14.16,15.84,5.92,2.14
Bream,1425.0,57.0,61.5,69.75,26.44,9.56
Smelt,23.64,15.84,17.16,18.24,3.45,2.48
Bream,366.0,18.54,20.1,23.16,9.38,3.08
Smelt,17.08,16.94,18.2,19.32,3.19,1.76
Roach,413.4,31.27,33.6,37.1,10.05,5.68
Perch,63.7,14.29,15.83,16.84,4.18,2.68
Smelt,9.1,10.28,10.74,11.92,2.01,1.17
Bream,451.25,26.98,29.45,34.39,13.55,4.85
Perch,240.0,33.6,36.8,39.2,8.35,5.8
Roach,102.3,17.76,19.34,21.48,5.74,3.16
Whitefish,489.6,40.96,44.8,49.28,14.04,7.49
Pike,839.3,48.83,52.32,55.81,8.37,5.86
Perch,133.9,21.12,23.18,24.72,6.03,3.73
Whitefish,513.0,27.07,29.45,32.3,10.21,6.23
Roach,175.49,23.98,25.51,29.1,7.54,3.96
Whitefish,700.0,26.11,28.0,30.45,8.65,4.57
Whitefish,640.0,26.96,29.12,31.68,9.41,5.26
Roach,0.0,19.0,20.5,22.8,6.48,3.35
Bream,510.0,29.68,32.13,37.13,14.03,4.46
Pike,433.2,38.0,40.38,43.23,6.92,4.11
Roach,348.0,28.8,31.2,35.04,10.65,5.4
Pike,324.0,24.06,25.8,27.48,4.67,3.08
Parkki,4.13,5.25,5.88,6.16,1.48,0.99
Bream,475.0,28.4,31.0,36.2,14.26,5.1
Whitefish,59.95,14.72,16.02,17.99,7.46,2.54
Bream,780.0,38.22,41.6,48.36,20.07,7.25
Bream,445.5,27.32,29.7,34.75,13.86,4.8
Parkki,90.0,16.3,17.7,19.8,7.41,2.67
Smelt,11.83,11.74,12.61,13.39,2.21,1.22
Perch,1155.0,42.11,45.15,47.77,13.14,7.79
Bream,350.0,19.95,21.49,25.34,9.96,3.47
Whitefish,768.0,32.35,34.94,38.02,11.29,6.31
Roach,153.6,20.26,21.6,24.0,6.14,3.65
Bream,460.0,25.04,27.2,31.6,12.1,4.46
Whitefish,1400.0,52.22,56.0,60.9,17.3,9.13
Roach,156.0,21.22,22.88,25.69,6.04,3.9
Smelt,10.29,11.97,12.6,13.86,2.31,1.21
Perch,676.0,37.96,40.56,43.06,11.58,6.24
Perch,1350.0,55.5,60.0,63.75,17.59,10.84
Whitefish,640.0,26.96,29.12,31.68,9.41,5.26
Whitefish,1080.0,40.28,43.2,46.98,13.34,7.05
Smelt,9.5,10.85,11.33,12.58,2.13,1.12
Pike,1456.0,50.96,54.6,58.24,8.74,5.59
Whitefish,648.0,34.2,37.2,40.8,12.89,7.87
Whitefish,513.0,27.07,29.45,32.3,10.21,6.23
Bream,770.0,35.09,38.5,44.55,17.86,6.15
Smelt,7.84,8.56,8.96,9.92,1.67,1.02
Pike,550.0,46.2,49.5,52.8,7.66,5.39
Perch,1133.0,41.3,44.29,46.87,12.89,7.64
Pike,584.01,44.5,47.38,50.16,8.03,5.02
Whitefish,1080.0,40.28,43.2,46.98,13.34,7.05
Pike,950.0,48.3,51.7,55.1,8.93,6.17
Whitefish,52.8,12.96,14.11,15.84,6.57,2.23
Roach,269.28,24.75,26.73,30.29,8.48,4.73
Parkki,141.4,19.19,20.91,23.43,8.62,3.33
Bream,732.25,32.12,35.35,41.31,16.52,6.11
Pike,561.0,44.0,46.75,50.05,7.51,4.9
Bream,688.75,30.21,33.25,38.85,15.54,5.75
Parkki,210.0,16.8,18.2,20.3,7.96,2.96
Bream,486.0,29.81,32.4,37.91,15.13,5.23
Pike,282.0,30.74,32.9,36.47,5.58,4.12
Bream,1040.0,34.84,38.48,44.3,19.72,6.87
Roach,46.8,10.5,11.28,12.72,3.35,1.74
Perch,88.4,18.93,20.8,21.84,5.29,2.88
Roach,0.0,17.67,19.07,21.2,6.02,3.12
Parkki,4.13,5.25,5.88,6.16,1.48,0.99
Parkki,6.14,7.8,8.74,9.15,2.2,1.46
Bream,561.2,28.43,30.82,35.51,14.38,4.72
Roach,172.8,22.79,24.3,27.0,6.91,4.1
Parkki,195.0,23.92,26.0,29.12,11.56,4.28
Smelt,8.92,9.74,10.19,11.28,1.9,1.16
Bream,363.8,25.57,28.36,33.28,13.24,5.02
Roach,79.17,16.56,18.02,20.2,5.11,2.89
Roach,103.5,24.75,27.3,30.45,7.95,4.23
Bream,254.1,18.41,20.3,23.45,8.91,3.12
Parkki,82.8,15.0,16.28,18.22,6.81,2.46
Pike,1078.0,62.72,67.2,71.68,10.75,7.53
Whitefish,367.2,30.72,33.6,36.96,10.53,5.62
Bream,468.0,28.7,31.2,36.5,14.57,5.04
Smelt,21.69,15.04,16.35,17.66,3.2,2.05
Pike,1457.0,52.64,56.4,60.16,9.02,5.78
Perch,778.4,44.8,48.3,51.1,14.36,8.94
Roach,134.85,19.07,20.46,22.6,6.17,3.3
Perch,90.0,12.3,13.5,14.4,4.08,2.17
Perch,117.5,17.86,19.74,21.15,5.35,3.45
Smelt,9.4,11.66,12.2,13.61,2.14,1.39
Whitefish,324.0,28.92,31.8,35.16,9.77,5.1
Whitefish,920.0,34.32,36.8,40.02,11.37,6.0
Bream,1071.0,49.05,54.0,62.25,24.78,8.78
Parkki,120.0,14.72,16.0,17.92,7.11,2.63
Whitefish,840.0,35.39,38.22,41.58,12.35,6.9
Smelt,10.39,12.08,12.72,13.99,2.34,1.22
Smelt,19.5,13.07,14.16,15.05,2.84,2.05
Smelt,18.71,12.97,14.1,15.23,2.76,1.77
Bream,1030.0,34.51,38.11,43.88,19.53,6.8
Whitefish,824.0,34.71,37.49,40.79,12.11,6.77
Whitefish,1060.0,39.54,42.4,46.11,13.1,6.92
Pike,1534.5,54.87,58.96,63.24,10.06,6.96
Whitefish,577.8,30.5,33.17,36.38,11.5,7.02
Smelt,7.76,8.32,8.8,9.6,1.76,1.1
Whitefish,324.36,27.14,29.68,32.65,9.3,4.96
Parkki,96.0,14.0,15.2,17.04,6.71,2.33
Bream,910.0,41.47,45.5,52.65,21.11,7.27
Perch,240.0,33.6,36.8,39.2,8.35,5.8
Pike,468.7,38.7,41.42,44.15,7.95,4.99
Smelt,7.28,10.5,11.02,12.06,1.8,1.19
Smelt,18.52,12.41,13.44,14.29,2.7,1.94
Smelt,10.79,12.32,12.86,14.28,2.41,1.27
Whitefish,33.0,8.1,8.82,9.9,4.11,1.4
Whitefish,545.4,28.79,31.31,34.34,10.85,6.63
Smelt,21.69,15.04,16.35,17.66,3.2,2.05
Smelt,10.79,12.32,12.86,14.28,2.41,1.27
Perch,122.2,19.27,21.15,22.56,5.5,3.41
Pike,10.72,14.88,15.68,17.28,2.78,1.68
Pike,588.6,43.71,46.87,49.92,8.49,5.59
Parkki,289.38,24.38,26.5,29.68,11.75,4.39
Parkki,163.8,13.8,15.0,16.8,6.65,2.49
Smelt,21.29,14.77,16.05,17.33,3.14,2.01
Whitefish,183.6,15.36,16.8,18.48,5.27,2.81
Pike,294.0,34.1,36.55,39.0,6.16,3.94
Pike,572.4,42.51,45.58,48.55,8.25,5.44
Perch,119.9,20.71,22.89,24.53,6.2,3.87
Smelt,11.64,12.48,13.2,14.4,2.64,1.66
Roach,284.2,23.52,25.48,28.62,8.7,4.41
Smelt,8.18,10.15,10.62,11.84,1.86,1.21
Pike,618.03,47.09,50.14,53.08,8.49,5.31
Perch,882.0,36.26,39.2,41.65,11.5,7.08
Bream,626.75,34.12,37.06,43.05,16.49,6.07
Pike,1650.0,59.0,63.4,68.0,10.81,7.48
Parkki,196.0,20.78,22.54,25.28,10.14,3.59
Pike,2000.0,83.2,89.6,95.52,17.1,11.18
Perch,959.0,47.6,51.1,54.6,15.23,9.61
Parkki,124.8,18.2,19.76,22.15,8.73,3.03
Perch,312.0,27.98,29.85,31.3,7.89,4.82
Bream,650.75,29.83,32.3,37.24,15.19,5.1
Smelt,8.53,10.58,11.07,12.35,1.94,1.26
Whitefish,294.3,26.27,28.89,31.94,8.88,4.63
Roach,374.4,28.32,30.43,33.6,9.11,5.14
Perch,90.95,19.47,21.4,22.47,5.44,2.97
Smelt,9.8,11.07,11.56,12.84,2.17,1.26
Smelt,5.94,6.78,7.08,7.86,1.33,0.7
Pike,544.32,41.47,44.16,46.75,7.48,4.68
Perch,91.0,13.51,14.91,15.96,4.47,2.47
Smelt,10.4,11.75,12.27,13.62,2.3,1.34
Smelt,9.5,10.85,11.33,12.58,2.13,1.12
Smelt,13.18,13.07,14.04,14.9,2.46,1.36
Roach,151.5,20.6,22.22,24.95,5.86,3.79
Pike,1275.0,53.04,57.12,60.89,10.9,7.12
Pike,297.0,34.45,36.93,39.4,6.23,3.98
Parkki,184.0,19.5,21.16,23.74,9.52,3.37
Pike,300.0,25.2,27.0,28.8,4.18,2.94
Parkki,133.0,18.05,19.66,22.04,8.11,3.13
Pike,300.0,32.7,35.0,38.8,5.94,4.38
Parkki,105.0,12.88,14.0,15.68,6.22,2.3
Parkki,136.0,15.2,16.56,18.56,7.52,2.73
Smelt,12.33,10.76,11.41,12.42,2.24,1.17
Whitefish,1200.0,50.55,54.6,59.4,17.64,9.86
Parkki,140.65,19.21,20.86,23.38,9.44,3.06
Parkki,90.9,16.46,17.88,20.0,7.48,2.7
Perch,247.5,25.64,27.72,29.11,7.74,4.16
Parkki,238.0,26.6,28.98,32.48,13.15,4.77
Smelt,8.61,10.69,11.19,12.47,1.96,1.27
Smelt,10.49,12.2,12.84,14.12,2.36,1.23
Perch,235.0,24.35,26.32,27.64,7.35,3.95
Parkki,54.0,9.78,10.62,11.88,4.44,1.6
Roach,133.0,19.95,21.38,23.75,6.22,3.16
Perch,544.84,32.33,34.77,36.04,10.63,6.38
Pike,313.95,32.76,35.04,37.31,5.82,3.62
Smelt,13.0,11.35,12.03,13.09,2.36,1.23
Bream,510.0,27.34,30.29,35.19,14.46,5.38
Smelt,20.09,13.46,14.59,15.5,2.93,2.11
Pike,315.0,36.54,39.16,41.79,6.6,4.22
Smelt,9.41,10.09,10.67,11.64,2.13,1.34
Smelt,10.57,11.34,11.99,13.08,2.39,1.5
Pike,588.6,43.71,46.87,49.92,8.49,5.59
Perch,149.5,24.7,27.3,29.25,7.69,4.3
Whitefish,1500.0,55.95,60.0,65.25,18.53,9.79
Perch,954.0,39.22,42.4,45.05,12.43,7.66
Parkki,144.0,21.0,22.8,25.56,10.07,3.5
Pike,589.68,44.93,47.84,50.65,8.1,5.06
Parkki,154.7,17.29,18.84,21.11,8.55,3.1
Perch,121.0,20.9,23.1,24.75,6.26,3.91
Pike,1488.0,53.76,57.6,61.44,9.22,5.9
Bream,950.0,31.82,35.15,40.47,18.01,6.27
Perch,84.15,17.62,19.4,20.59,5.09,3.01
Bream,862.5,46.95,51.0,59.25,22.69,8.35
Roach,180.0,29.1,31.5,35.55,9.17,4.94
Parkki,147.0,19.95,21.73,24.36,8.96,3.46
Pike,684.0,60.0,63.75,68.25,10.92,6.48
Smelt,8.35,10.37,10.85,12.1,1.9,1.23
Roach,192.0,25.32,27.0,30.0,7.68,4.56
Roach,136.5,18.56,20.02,22.48,5.28,3.42
Perch,278.2,27.18,29.43,30.92,7.67,4.64
Smelt,6.93,7.91,8.26,9.17,1.55,0.82
Pike,499.8,39.2,41.65,44.59,6.69,4.37
Pike,451.5,37.27,39.9,42.52,7.65,4.81
Smelt,9.6,11.17,11.76,12.94,2.16,1.13
Smelt,6.72,9.7,10.18,11.14,1.66,1.1
Pike,990.0,35.4,38.04,40.8,6.49,4.49
Smelt,9.38,8.19,8.68,9.45,1.7,0.89
Parkki,180.2,20.14,21.94,24.59,9.96,3.62
Smelt,6.93,7.91,8.26,9.17,1.55,0.82
Smelt,9.31,10.62,11.09,12.31,2.08,1.1
Perch,105.0,17.01,18.9,20.16,5.48,3.49
Pike,312.0,36.19,38.79,41.39,6.54,4.18
Roach,138.0,18.77,20.24,22.72,5.34,3.45
Perch,73.32,15.79,17.58,18.24,4.89,2.94
Smelt,14.74,12.87,13.64,14.85,2.67,1.4
Parkki,153.7,20.99,22.79,25.55,10.32,3.35
Pike,348.45,36.36,38.88,41.41,6.46,4.02
Perch,644.0,31.28,33.12,35.24,9.76,6.2
Pike,489.6,38.4,40.8,43.68,6.55,4.28
Smelt,12.93,12.19,12.93,14.2,2.22,1.48
Roach,468.0,35.4,38.04,42.0,11.38,6.43
Whitefish,54.45,13.37,14.55,16.34,6.78,2.3
Pike,756.0,56.14,60.2,64.12,10.9,7.18
Roach,71.76,16.1,17.3,19.5,5.13,2.67
Bream,780.0,37.2,40.2,46.44,17.37,6.87
Smelt,10.79,12.32,12.86,14.28,2.41,1.27
Bream,516.0,31.8,34.8,40.8,14.93,6.16
Whitefish,324.0,28.92,31.8,35.16,9.77,5.1
Roach,232.0,32.8,35.2,38.88,10.61,5.68
Pike,1300.0,54.08,58.24,62.09,11.11,7.26
Perch,114.4,20.8,22.88,24.44,5.74,4.15
Roach,624.0,47.2,50.72,56.0,15.18,8.57
Roach,198.0,25.96,27.72,30.69,7.8,4.3
Smelt,10.2,11.53,12.04,13.36,2.26,1.31
Roach,71.07,17.0,18.75,20.91,5.46,2.91
Bream,780.0,38.22,41.6,48.36,19.44,6.72
Bream,414.0,24.66,27.32,31.92,12.51,4.53
Pike,864.5,43.95,47.05,50.14,8.12,5.62
Bream,573.0,21.0,23.1,26.4,10.85,3.78
Pike,1534.5,55.44,59.4,63.36,9.5,6.08
Pike,960.0,33.6,36.0,38.4,5.76,3.69
Pike,572.67,43.63,46.46,49.19,7.87,4.92
Pike,378.0,28.07,30.1,32.06,5.45,3.59
Bream,929.2,35.35,38.88,44.54,18.22,6.37
Bream,392.04,28.4,31.32,36.18,13.75,4.81
Smelt,8.92,9.57,10.12,11.04,2.02,1.27
Parkki,267.54,22.54,24.5,27.44,10.87,4.06
Whitefish,272.7,24.34,26.77,29.59,8.23,4.29
Pike,6.5,9.02,9.51,10.48,1.69,1.02
Bream,360.0,22.08,24.0,28.08,11.2,3.88
Pike,1501.5,53.69,57.69,61.88,9.84,6.81
Pike,480.0,52.32,56.0,62.08,9.5,7.02
Perch,127.2,21.2,23.32,24.91,5.98,3.74
Perch,86.7,18.16,19.99,21.22,5.24,3.1
Perch,420.0,20.4,21.6,22.98,6.37,4.04
Whitefish,560.0,23.59,25.48,27.72,8.23,4.6
Roach,73.32,16.45,17.67,19.93,5.24,2.73
Roach,137.75,19.47,20.9,23.09,6.3,3.37
Whitefish,53.9,13.23,14.41,16.17,6.71,2.28
Whitefish,832.0,35.05,37.86,41.18,12.23,6.84
Pike,433.2,38.0,40.38,43.23,6.92,4.11
Perch,136.3,19.46,21.34,22.75,5.6,3.41
Parkki,142.1,19.4,21.07,23.62,9.54,3.09
Bream,513.0,30.67,33.48,39.1,15.4,5.51
Roach,174.4,22.35,24.53,27.58,7.67,4.16
Parkki,93.6,16.95,18.41,20.59,7.7,2.78
Parkki,149.8,20.33,22.15,24.82,9.14,3.53
Perch,165.0,28.5,31.5,33.75,8.54,5.33
Bream,999.0,39.1,42.66,48.92,20.25,7.29
Smelt,11.96,11.27,11.96,13.13,2.05,1.37
Perch,1067.0,37.83,40.74,43.26,12.42,6.66
Smelt,14.34,12.52,13.27,14.45,2.6,1.36
Bream,598.0,28.52,30.82,35.6,13.32,5.27
Parkki,127.4,17.29,18.84,21.11,7.77,3.0
Bream,840.0,36.48,39.6,46.2,17.93,6.24
Smelt,5.88,6.42,6.72,7.44,1.25,0.77
Whitefish,513.0,27.07,29.45,32.3,10.21,6.23
Parkki,7.67,9.75,10.92,11.44,2.75,1.83
Whitefish,529.2,27.93,30.38,33.32,10.53,6.43
Bream,304.5,25.2,27.62,32.76,13.1,4.52
Roach,110.4,17.85,19.32,21.8,5.63,3.03
Smelt,21.69,15.04,16.35,17.66,3.2,2.05
Smelt,9.76,9.68,10.4,11.04,1.82,1.0
Bream,920.0,50.08,54.4,63.2,24.21,8.91
Bream,858.5,33.13,36.36,42.02,17.06,6.26
Smelt,9.21,9.88,10.45,11.4,2.09,1.31
Whitefish,702.0,37.05,40.3,44.2,13.97,8.53
Whitefish,496.8,26.22,28.52,31.28,9.88,6.04
Bream,1202.5,47.06,51.35,58.89,24.38,8.77
Parkki,409.5,34.5,37.5,42.0,16.63,6.22
Whitefish,57.75,14.18,15.44,17.32,7.19,2.44
Parkki,3.54,4.5,5.04,5.28,1.27,0.84
Smelt,8.54,8.05,8.54,9.38,1.46,0.98
Roach,0.0,20.71,22.35,24.85,7.06,3.65
Bream,1050.5,38.5,42.35,48.4,19.89,6.92
Parkki,84.0,11.4,12.42,13.92,5.12,1.98
Smelt,18.11,12.56,13.65,14.74,2.67,1.71
Smelt,12.81,12.71,13.65,14.49,2.39,1.32
Perch,43.6,15.04,16.35,17.44,4.17,2.65
Perch,60.0,9.72,10.8,11.52,3.13,1.99
Parkki,116.4,16.97,18.43,20.66,8.14,2.83
Whitefish,297.0,26.51,29.15,32.23,8.96,4.67
Smelt,9.7,10.96,11.45,12.71,2.15,1.25
Roach,170.66,23.32,24.8,28.3,7.33,3.85
Whitefish,550.8,29.07,31.62,34.68,10.96,6.69
Whitefish,291.6,26.03,28.62,31.64,8.8,4.59
Bream,423.0,25.19,27.92,32.62,12.79,4.63
Parkki,280.0,29.68,32.2,36.12,14.48,5.13
Perch,359.8,21.35,22.96,23.8,7.02,4.21
Whitefish,55.0,13.5,14.7,16.5,6.85,2.33
Smelt,7.28,10.5,11.02,12.06,1.8,1.19
Bream,945.45,34.65,38.12,43.56,17.9,6.23
Parkki,96.0,14.0,15.2,17.04,6.71,2.33
Bream,950.0,31.82,35.15,40.47,18.01,6.27
Bream,1016.5,40.66,43.87,49.76,18.86,6.82
Bream,591.7,29.97,32.49,37.44,15.16,4.98
Bream,550.0,29.48,32.67,37.95,15.6,5.81
Roach,256.0,33.76,36.0,40.0,10.24,6.08
Bream,734.4,34.34,37.8,43.85,16.71,6.62
Pike,1085.0,39.2,42.0,44.8,6.72,4.3
Bream,525.0,30.56,33.08,38.22,14.45,4.59
Whitefish,550.8,29.07,31.62,34.68,10.96,6.69
Roach,184.0,20.33,21.62,24.66,6.81,3.8
Whitefish,183.6,15.36,16.8,18.48,5.27,2.81
Roach,72.54,16.28,17.48,19.72,5.19,2.7
Parkki,95.4,17.28,18.76,20.99,7.85,2.83
Perch,185.18,22.09,24.06,25.38,6.17,3.98
Whitefish,59.95,14.72,16.02,17.99,7.46,2.54
Whitefish,270.0,24.1,26.5,29.3,8.15,4.25
Parkki,137.2,18.62,20.29,22.74,8.37,3.23
Pike,510.0,40.0,42.5,45.5,6.83,4.46
Roach,203.0,28.7,30.8,34.02,9.29,4.97
Parkki,279.0,22.32,24.18,26.97,10.57,3.94
Bream,1295.0,50.68,55.3,63.42,26.26,9.45
Whitefish,572.4,30.21,32.86,36.04,11.39,6.96
Roach,159.5,22.55,24.2,26.73,7.3,3.9
Perch,703.8,35.29,37.74,40.09,10.78,6.49
Smelt,8.92,10.37,10.92,12.01,2.01,1.05
Whitefish,55.55,13.63,14.85,16.66,6.92,2.35
Perch,160.0,24.0,25.84,27.84,4.45,2.7
Parkki,144.0,17.66,19.2,21.5,8.54,3.16
Perch,110.0,19.0,21.0,22.5,5.69,3.56
Smelt,17.08,16.1,17.08,18.76,2.93,1.95
Whitefish,312.12,26.11,28.56,31.42,8.95,4.78
Bream,742.0,32.22,34.98,40.81,15.83,5.51
Pike,2310.0,82.6,88.76,95.2,15.14,10.47
Perch,120.9,18.6,20.46,21.86,5.68,3.28
Whitefish,496.8,26.22,28.52,31.28,9.88,6.04
Perch,1060.0,43.57,46.64,49.4,13.24,8.05
Parkki,289.38,24.38,26.5,29.68,11.75,4.39
Bream,540.0,31.0,33.48,39.1,15.52,5.2
Bream,912.0,36.48,39.36,44.64,16.92,6.12
